GEOID,NAME,tot_popE,popm_18t24E,popf_18t24E,pop_3t4E,med_incE,giniE,less_hsE,hs_degE,ba_degE,his_popE,wh_popE,bl_popE,as_popE,rohhE,thhE,hsm_18t24E,hsf_18t24E,es_3t4E,empE,emp_pubtrE,pop_bpE,bp_u18E,pop_o25E,pop_u18E,emp_r25t29E,emp_r30t34E,emp_r35t44E,emp_r45t54E,year,pop_18t24E,wh_per,bl_per,as_per,his_per,emp_r,hs_18t24_per,es_3t4_per,emp_pubtr_per,bp_per,cbp_per,rohh_per,type
75001,ZCTA5 75001,13033,581,720,444,55855,0.449,953,960,4470,3897,6482,1482,957,5363,7001,89,46,85,8329,47,1933,721,9478,2232,85.2,84.1,76.5,30.6,2012,1301,0.497352873475025,0.11371134811632,0.0734289879536561,0.299010204864575,0.691,0.136817832436587,0.191441441441441,0.00564293432584944,0.148315813703675,0.323028673835125,0.766033423796601,Zip
75002,ZCTA5 75002,64067,1854,1970,2187,91950,0.3728,1427,5191,16748,7722,43138,6538,4858,4155,21082,631,573,188,32697,558,3561,1459,40042,19876,83.3,84.3,73.2,28.8,2012,3824,0.673326361465341,0.102049417016561,0.0758268687467807,0.120530070082882,0.674,0.330020920502092,0.0859625057155921,0.017065785851913,0.0555824371361231,0.0734051116924935,0.197087562849825,Zip
75006,ZCTA5 75006,46557,2322,1799,1094,57002,0.407,6693,4672,7856,20975,18325,3321,3285,7303,16710,641,330,124,24381,237,6102,2895,30379,11995,83.1,81.7,73,30.6,2012,4121,0.393603539746977,0.0713319157162188,0.070558670017398,0.450523014799064,0.671,0.311089541373453,0.113345521023766,0.00972068413928879,0.131065145950126,0.241350562734473,0.43704368641532,Zip
75007,ZCTA5 75007,51735,2208,1908,1403,80000,0.39,2992,5721,12543,11969,26543,4461,6960,4554,18422,481,497,178,29159,325,3333,1282,34672,12852,84.1,87.3,78.8,37.5,2012,4116,0.513056924712477,0.0862278921426501,0.13453174833285,0.231352082729294,0.71925,0.233722060252673,0.126870990734141,0.0111457868925546,0.0644244708611192,0.0997510115157174,0.247204429486484,Zip
75009,ZCTA5 75009,8342,280,278,201,88682,0.4353,403,1032,1512,1631,6196,225,19,578,2752,115,118,101,4200,63,804,266,5290,2494,84.4,85.4,65.3,32.6,2012,558,0.742747542555742,0.0269719491728602,0.00227763126348597,0.195516662670822,0.66925,0.412186379928315,0.502487562189055,0.015,0.0963797650443539,0.106655974338412,0.210029069767442,Zip
75010,ZCTA5 75010,22848,884,799,321,74578,0.3908,516,2637,6043,2924,11091,3020,5028,3820,8310,234,348,25,12666,223,958,237,15332,5833,86,86.5,63.2,38.1,2012,1683,0.485425420168067,0.132177871148459,0.220063025210084,0.12797619047619,0.6845,0.27807486631016,0.0778816199376947,0.0176061897994631,0.0419292717086835,0.0406308931938968,0.459687123947052,Zip
75013,ZCTA5 75013,29971,749,601,1102,129124,0.3712,414,1168,11811,1690,20302,999,5878,2000,9995,159,191,92,14487,283,983,237,18746,9875,81.8,82.6,64.5,23.5,2012,1350,0.677388141870475,0.0333322211471089,0.196122918821527,0.0563878415801942,0.631,0.235555555555556,0.0834845735027223,0.0195347552978532,0.0327983717593674,0.024,0.200100050025012,Zip
75019,ZCTA5 75019,39212,1274,1096,911,106887,0.4045,664,2276,15149,3880,25892,1794,6872,3900,14064,267,275,115,20311,124,1280,391,25115,11695,79.6,84,76.6,35.2,2012,2370,0.660308068958482,0.0457513006222585,0.175252473732531,0.098949301234316,0.6885,0.225316455696203,0.126234906695939,0.00610506622027473,0.0326430684484342,0.0334330910645575,0.277303754266212,Zip
75022,ZCTA5 75022,22449,548,549,676,140787,0.369,240,1067,8217,1996,17209,502,2487,324,6912,219,75,80,10282,25,537,297,13641,7698,82,83.3,64.4,26.6,2012,1097,0.766582030379972,0.022361797852911,0.110784444741414,0.0889126464430487,0.64075,0.399270738377393,0.118343195266272,0.00243143357323478,0.0239208873446479,0.0385814497272019,0.046875,Zip
75023,ZCTA5 75023,46339,2172,1468,1421,73814,0.3942,1225,4233,12917,7318,28371,3929,5221,5400,17539,1005,594,204,23771,525,3585,1251,30885,11730,80.8,79.6,68.1,33.4,2012,3640,0.612248861650014,0.0847881913722782,0.11266967349317,0.157923131703317,0.65475,0.552197802197802,0.143560872624912,0.022085734718775,0.0773646388571182,0.106649616368286,0.30788528422373,Zip
75024,ZCTA5 75024,37708,1264,1242,894,90804,0.4084,275,1783,16772,2483,19971,2541,11807,8051,15335,252,222,99,20797,79,1496,228,25115,10087,82,82,70.3,39.2,2012,2506,0.529622361302641,0.0673862310385064,0.313116580036067,0.0658480958947703,0.68375,0.201117318435754,0.110738255033557,0.00379862480165408,0.0396732788798133,0.0226033508476257,0.525008151287904,Zip
75025,ZCTA5 75025,51202,1940,1639,1502,105482,0.3833,668,2389,20069,3061,29310,3486,13971,4737,18150,650,334,165,25878,266,2423,750,32945,14668,79.8,81.8,71.1,31.5,2012,3579,0.572438576618101,0.0680832779969532,0.272860435139252,0.0597828209835553,0.6605,0.363229952500699,0.109853528628495,0.0102790014684288,0.0473223702199133,0.0511317152986092,0.26099173553719,Zip
75028,ZCTA5 75028,42878,1817,1417,1220,110286,0.3427,364,2628,13796,3648,33920,1883,2391,1553,13856,467,416,129,21954,74,1442,419,26225,13354,80.8,86.1,68.1,26.2,2012,3234,0.791081673585522,0.0439152945566491,0.0557628620737908,0.0850785950837259,0.653,0.288806431663575,0.105737704918033,0.00337068415778446,0.0336302999207053,0.0313763666317208,0.112081408775982,Zip
75032,ZCTA5 75032,29088,847,862,819,91456,0.4135,1432,2862,6650,5338,21327,1413,516,1483,9722,236,275,75,13630,45,1996,693,18638,8734,78.4,81.6,60.1,30.5,2012,1709,0.73318894389439,0.0485767326732673,0.0177392739273927,0.183512101210121,0.6265,0.276184903452311,0.0915750915750916,0.0033015407190022,0.0686193619361936,0.0793450881612091,0.152540629500103,Zip
75034,ZCTA5 75034,71123,1934,1750,2615,112937,0.4038,1923,3794,24366,9500,48319,4928,5929,5669,24076,343,359,232,35598,114,3170,1234,44337,22968,81.9,84.1,67.1,28.9,2012,3684,0.679372354934409,0.0692884158429763,0.0833626253110808,0.133571418528465,0.655,0.186210640608035,0.0887189292543021,0.00320242710264622,0.0445706733405509,0.0537269244165796,0.235462701445423,Zip
75035,ZCTA5 75035,48691,1534,1558,2022,101114,0.3252,708,2544,15819,6413,31491,4018,4915,3521,16375,624,232,208,25212,33,2424,960,29696,15864,86.2,83.7,65.4,39.3,2012,3092,0.646751966482512,0.0825203836437945,0.100942679345259,0.131708118543468,0.6865,0.403622250970246,0.102868447082097,0.00130890052356021,0.049783327514325,0.0605143721633888,0.215022900763359,Zip
75038,ZCTA5 75038,27393,1395,1533,778,46357,0.47,1614,2874,7802,5572,7075,6276,7557,9883,11839,339,325,192,15118,426,4322,1550,17856,6609,77.3,77.9,74.4,37.9,2012,2928,0.258277662176468,0.229109626546928,0.275873398313438,0.203409630197496,0.66875,0.23155737704918,0.246786632390746,0.028178330466993,0.1577775344066,0.234528673021637,0.834783343187769,Zip
75039,ZCTA5 75039,10932,451,516,255,71054,0.482,125,663,6045,1323,5247,1084,2907,5518,6423,10,34,12,7615,6,801,106,8699,1212,85,76.5,75.6,48.6,2012,967,0.479967069154775,0.0991584339553604,0.265916575192097,0.121020856201976,0.71425,0.0206825232678387,0.0470588235294118,0.000787918581746553,0.0732711306256861,0.0874587458745875,0.859100108983341,Zip
75040,ZCTA5 75040,59244,2939,2569,2114,54420,0.3749,8288,7530,5946,25544,16250,7738,6556,4755,17591,1113,952,233,28243,652,8941,3826,35808,17860,77.6,82.6,64.9,24.5,2012,5508,0.274289379515225,0.130612382688542,0.110660995206266,0.431166025251502,0.624,0.404139433551198,0.110217596972564,0.0230853662854513,0.150918236445885,0.214221724524076,0.270308680575294,Zip
75041,ZCTA5 75041,29793,1808,1132,1069,42621,0.388,5456,4030,2070,17090,8829,1858,877,3655,9354,929,405,157,13091,390,5827,2463,18065,8788,74.5,75.4,63.1,25.5,2012,2940,0.296344778974927,0.0623636424663512,0.0294364448024704,0.573624676937536,0.59625,0.631972789115646,0.146866230121609,0.0297914597815293,0.195582855033061,0.280268548020027,0.390741928586701,Zip
75042,ZCTA5 75042,39193,2430,2043,1595,42586,0.397,6454,5028,2495,21178,8532,3473,4440,5034,11176,793,731,94,16920,402,9170,4192,21716,12866,77.1,79.6,66.2,22.3,2012,4473,0.217691934784273,0.0886127624830965,0.113285535682392,0.54035159339678,0.613,0.354571875698636,0.0589341692789969,0.023758865248227,0.233970351848544,0.325819990673092,0.450429491768075,Zip
75043,ZCTA5 75043,57596,3022,2441,1933,56192,0.3892,4572,7593,6939,15897,22504,13258,3818,7930,19940,1122,820,329,27995,585,6591,2574,36577,15512,79.2,79.3,68.5,30,2012,5463,0.390721577887353,0.230189596499757,0.0662893256476144,0.276008750607681,0.6425,0.410763316858869,0.170201758923952,0.0208965886765494,0.114435030210431,0.165936049510057,0.397693079237713,Zip
75044,ZCTA5 75044,42012,1917,1453,845,66166,0.3923,3016,4253,8891,8933,19586,3727,7282,3992,14850,683,287,32,21641,435,2945,1025,28423,10178,78.3,80.4,66.2,30,2012,3370,0.466200133295249,0.0887127487384557,0.173331429115491,0.212629724840522,0.63725,0.405341246290801,0.0378698224852071,0.0201007347165103,0.0700990193278111,0.100707408135194,0.268821548821549,Zip
75048,ZCTA5 75048,20215,778,555,639,88691,0.3258,815,2757,4097,3648,12743,1682,1821,762,6655,467,116,46,10525,188,1115,492,12988,5830,86,87,60.7,19.2,2012,1333,0.630373485035864,0.0832055404402671,0.0900816225575068,0.180460054415038,0.63225,0.700675168792198,0.0719874804381847,0.0178622327790974,0.0551570615879298,0.0843910806174957,0.1145003756574,Zip
75050,ZCTA5 75050,39994,2356,2354,1129,43753,0.4059,5231,6268,3973,20287,13477,4723,932,7972,14875,671,578,22,19631,36,7097,2899,24807,10395,75.1,77.1,63.2,26.9,2012,4710,0.33697554633195,0.118092713907086,0.0233034955243287,0.50725108766315,0.60575,0.284925690021231,0.0194862710363153,0.00183383424176048,0.177451617742661,0.278884078884079,0.535932773109244,Zip
75051,ZCTA5 75051,40023,1955,1934,1400,38048,0.4111,6803,5970,1732,23550,9605,5337,992,6585,12904,570,823,303,15539,58,8954,4242,22634,13480,72.7,69.8,52.6,17.3,2012,3889,0.239987007470704,0.13334832471329,0.024785748194788,0.588411663293606,0.531,0.293134481871947,0.216428571428571,0.00373254392174529,0.223721360217875,0.314688427299703,0.510306881587105,Zip
